check_id	status	expected	actual	detail	severity
plan_md_exists	PASS	exists	exists	shadow 设计文档必须存在。	blocking
plan_phrase::v1.0c-plan	PASS	present	present	文档应包含关键短语：v1.0c-plan	blocking
plan_phrase::shadow	PASS	present	present	文档应包含关键短语：shadow	blocking
plan_phrase::legacy reward 仍然是正式奖励	PASS	present	present	文档应包含关键短语：legacy reward 仍然是正式奖励	blocking
plan_phrase::runtime reward 只作为 runtime_candidate	PASS	present	present	文档应包含关键短语：runtime reward 只作为 runtime_candidate	blocking
plan_phrase::selected_reward 必须来自 legacy	PASS	present	present	文档应包含关键短语：selected_reward 必须来自 legacy	blocking
plan_phrase::runtime_reward_effective=false	PASS	present	present	文档应包含关键短语：runtime_reward_effective=false	blocking
plan_phrase::fallback legacy	PASS	present	present	文档应包含关键短语：fallback legacy	blocking
plan_phrase::不修改 battle_state	PASS	present	present	文档应包含关键短语：不修改 battle_state	blocking
plan_phrase::不修改 combat_result	PASS	present	present	文档应包含关键短语：不修改 combat_result	blocking
plan_phrase::不替换正式奖励源	PASS	present	present	文档应包含关键短语：不替换正式奖励源	blocking
plan_phrase::runtime_loader_config 必须保持 disabled	PASS	present	present	文档应包含关键短语：runtime_loader_config 必须保持 disabled	blocking
preferred_entry_recorded	PASS	scripts/narrative_demo_canonical_controller.gd::_battle_reward_for_source	present	应明确记录首选最小接入点。	blocking
forbidden_point::scripts/combat_resolver.gd	PASS	present	present	应记录禁止接入点。	blocking
forbidden_point::scripts/battle_state_machine.gd	PASS	present	present	应记录禁止接入点。	blocking
forbidden_point::scripts/card_data.gd	PASS	present	present	应记录禁止接入点。	blocking
forbidden_point::scripts/battle_controller_core_round_resolution.gd::_finish_battle	PASS	present	present	应记录禁止接入点。	blocking
runtime_loader_config_disabled	PASS	true	true	runtime_loader_config 必须保持 disabled。	blocking
battle_reward_runtime_exists	PASS	true	true	runtime battle_reward.json 必须存在。	blocking
battle_reward_runtime_record_count	PASS	45	45	runtime battle_reward 记录数应为 45。	blocking
adapter_formal_flow_reference_count	PASS	0	0	adapter 不得在未授权文件中引用。	blocking
canonical_controller_adapter_reference_count	PASS	0_or_more_allowed_in_v1_0c	3	v1.0c 允许 canonical 作为最小接入点引用 adapter。	blocking
high_risk_files_touched	PASS	false	false		blocking
formal_reward_source_touched	PASS	false	false		blocking
runtime_dir_whitelist_status	PASS	pass	pass	actual=['battle_reward.json', 'card_pool.json', 'runtime_loader_config.json', 'runtime_manifest.json']	blocking
